cnt,clinical_trial_status,progression_bin,symptom_burden_bin,tx_class,tx_modality,tx_specific,visual_status_bin,site
207,,,,,,,,
207,,,,,,,,boston_childrens
196,NOT_MENTIONED,,,,,,,
196,NOT_MENTIONED,,,,,,,boston_childrens
185,,,,,,,NOT_MENTIONED,
185,,,,,,,NOT_MENTIONED,boston_childrens
182,,,SYMPTOM_PRESENT,,,,,
182,,,SYMPTOM_PRESENT,,,,,boston_childrens
176,NOT_MENTIONED,,,,,,NOT_MENTIONED,
176,NOT_MENTIONED,,,,,,NOT_MENTIONED,boston_childrens
172,NOT_MENTIONED,,SYMPTOM_PRESENT,,,,,
172,NOT_MENTIONED,,SYMPTOM_PRESENT,,,,,boston_childrens
157,,,SYMPTOM_PRESENT,,,,NOT_MENTIONED,
157,,,SYMPTOM_PRESENT,,,,NOT_MENTIONED,boston_childrens
149,NOT_MENTIONED,,SYMPTOM_PRESENT,,,,NOT_MENTIONED,
149,,PROGRESSION,,,,,,
149,NOT_MENTIONED,,SYMPTOM_PRESENT,,,,NOT_MENTIONED,boston_childrens
149,,PROGRESSION,,,,,,boston_childrens
145,,,NOT_MENTIONED,,,,,
145,,,NOT_MENTIONED,,,,,boston_childrens
140,NOT_MENTIONED,PROGRESSION,,,,,,
140,NOT_MENTIONED,PROGRESSION,,,,,,boston_childrens
137,,PROGRESSION,,,,,NOT_MENTIONED,
137,,PROGRESSION,,,,,NOT_MENTIONED,boston_childrens
136,,PROGRESSION,SYMPTOM_PRESENT,,,,,
136,,,NOT_MENTIONED,,,,NOT_MENTIONED,
136,,PROGRESSION,SYMPTOM_PRESENT,,,,,boston_childrens
136,,,NOT_MENTIONED,,,,NOT_MENTIONED,boston_childrens
134,NOT_MENTIONED,,NOT_MENTIONED,,,,,
134,NOT_MENTIONED,,NOT_MENTIONED,,,,,boston_childrens
130,NOT_MENTIONED,PROGRESSION,,,,,NOT_MENTIONED,
130,NOT_MENTIONED,PROGRESSION,,,,,NOT_MENTIONED,boston_childrens
128,NOT_MENTIONED,PROGRESSION,SYMPTOM_PRESENT,,,,,
128,NOT_MENTIONED,PROGRESSION,SYMPTOM_PRESENT,,,,,boston_childrens
124,NOT_MENTIONED,,NOT_MENTIONED,,,,NOT_MENTIONED,
124,NOT_MENTIONED,,NOT_MENTIONED,,,,NOT_MENTIONED,boston_childrens
121,,PROGRESSION,SYMPTOM_PRESENT,,,,NOT_MENTIONED,
121,,,,,,NOT_MENTIONED,,
121,,PROGRESSION,SYMPTOM_PRESENT,,,,NOT_MENTIONED,boston_childrens
121,,,,,,NOT_MENTIONED,,boston_childrens
119,,,,,CHEMOTHERAPY,,,
119,,,,,CHEMOTHERAPY,,,boston_childrens
